"ENSG00000275852\tLINC01742"
"ENSG00000224440\tCXorf51A"
"ENSG00000276974\t"
"ENSG00000261140\t"
"ENSG00000293300\t"
"ENSG00000228738\tTSBP1-AS1"
"ENSG00000236211\tMTCO1P7"
"ENSG00000214684\tANKRD49P4"
"ENSG00000236118\t"
"ENSG00000135541\tAHI1"
"ENSG00000286035\t"
"ENSG00000206917\tRNU1-52P"
"ENSG00000258324\t"
"ENSG00000288690\t"
"ENSG00000276645\tMetazoa_SRP"
"ENSG00000132604\tTERF2"
"ENSG00000225937\tPCA3"
"ENSG00000258527\tASB9P1"
"ENSG00000286672\t"
"ENSG00000232842\tKAT7P1"
"ENSG00000112812\tPRSS16"
"ENSG00000128595\tCALU"
"ENSG00000258050\t"
"ENSG00000260658\t"
"ENSG00000175220\tARHGAP1"
"ENSG00000186479\tRGS7BP"
"ENSG00000274187\t"
"ENSG00000168283\tBMI1"
"ENSG00000276185\t"
"ENSG00000034510\tTMSB10"
"ENSG00000278161\tTFPT"
"ENSG00000291325\t"
"ENSG00000278115\tMetazoa_SRP"
"ENSG00000206283\tPFDN6"
"ENSG00000226356\tRPS6P20"
"ENSG00000237472\t"
"ENSG00000258081\t"
"ENSG00000251152\t"
"ENSG00000201292\tRNU6-153P"
"ENSG00000222460\tRN7SKP271"
"ENSG00000107185\tRGP1"
"ENSG00000248449\tPCDHGB8P"
"ENSG00000286060\t"
"ENSG00000232952\t"
"ENSG00000276753\tMIR6821"
"ENSG00000196652\tZKSCAN5"
"ENSG00000265156\tSNORD52"
"ENSG00000285912\t5S_rRNA"
"ENSG00000235430\tZSWIM5P1"
"ENSG00000290362\t"
"ENSG00000277339\tNPBWR2"
"ENSG00000189132\tFAM47B"
"ENSG00000260105\tAOC4P"
"ENSG00000113163\tCERT1"
"ENSG00000130349\tMTRES1"
"ENSG00000224855\tOPA1-AS1"
"ENSG00000182333\tLIPF"
"ENSG00000232977\tLINC00327"
"ENSG00000155760\tFZD7"
"ENSG00000275843\tNLRP2"
"ENSG00000125266\tEFNB2"
"ENSG00000284897\tRNU6-360P"
"ENSG00000264966\tMIR5094"
"ENSG00000211876\tTRAJ13"
"ENSG00000235926\tRPS29P15"
"ENSG00000227666\tCYCSP24"
"ENSG00000232415\tELN-AS1"
"ENSG00000222419\tRNA5SP511"
"ENSG00000257379\t"
"ENSG00000165985\tC1QL3"
"ENSG00000285067\t"
"ENSG00000169026\tSLC49A3"
"ENSG00000232044\tSILC1"
"ENSG00000088451\tTGDS"
